loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,home_ownership,verification_status,term_bin,target
5000.0,5000.0,4975.0,0.1065,162.87,24000.0,27.65,0.0,1.0,3.0,0.0,13648.0,0.8370000000000001,9.0,5863.155187,5833.84,5000.0,863.16,0.0,0.0,0.0,171.62,1,1,0,0
2500.0,2500.0,2500.0,0.1527,59.83,30000.0,1.0,0.0,5.0,3.0,0.0,1687.0,0.094,4.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,119.66,1,1,1,1
2400.0,2400.0,2400.0,0.15960000000000002,84.33,12252.0,8.72,0.0,2.0,2.0,0.0,2956.0,0.985,10.0,3005.666844,3005.67,2400.0,605.67,0.0,0.0,0.0,649.91,1,0,0,0
10000.0,10000.0,10000.0,0.1349,339.31,49200.0,20.0,0.0,1.0,10.0,0.0,5598.0,0.21,37.0,12231.89,12231.89,10000.0,2214.92,16.97,0.0,0.0,357.48,1,1,0,0
5000.0,5000.0,5000.0,0.079,156.46,36000.0,11.2,0.0,3.0,9.0,0.0,7963.0,0.28300000000000003,12.0,5632.21,5632.21,5000.0,632.21,0.0,0.0,0.0,161.03,1,1,0,0
7000.0,7000.0,7000.0,0.15960000000000002,170.08,47004.0,23.51,0.0,1.0,7.0,0.0,17726.0,0.856,11.0,10137.84001,10137.84,7000.0,3137.84,0.0,0.0,0.0,1313.76,1,0,1,0
3000.0,3000.0,3000.0,0.1864,109.43,48000.0,5.35,0.0,2.0,4.0,0.0,8221.0,0.875,4.0,3939.135294,3939.14,3000.0,939.14,0.0,0.0,0.0,111.34,1,1,0,0
5600.0,5600.0,5600.0,0.21280000000000002,152.39,40000.0,5.55,0.0,2.0,11.0,0.0,5210.0,0.326,13.0,646.02,646.02,162.02,294.94,0.0,189.06,2.09,152.39,0,1,1,1
5375.0,5375.0,5350.0,0.12689999999999999,121.45,15000.0,18.08,0.0,0.0,2.0,0.0,9279.0,0.365,3.0,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,121.45,1,1,1,1
6500.0,6500.0,6500.0,0.1465,153.45,72000.0,16.12,0.0,2.0,14.0,0.0,4032.0,0.20600000000000002,23.0,7678.017673,7678.02,6500.0,1178.02,0.0,0.0,0.0,1655.54,0,0,1,0
